"Tpr","Ppr","z","set"
1.05,2.16897,0.300084,"0"
1.05,2.16971,0.300183,"0"
1.05,2.17029,0.30026,"0"
1.05,2.17266,0.300575,"0"
1.05,2.17765,0.301241,"0"
1.05,2.17853,0.30136,"0"
1.05,2.17961,0.301503,"0"
1.05,2.18634,0.302401,"0"
1.05,2.1865,0.302423,"0"
1.05,2.18682,0.302465,"0"
1.05,2.18796,0.302618,"0"
1.05,2.18901,0.302758,"0"
1.05,2.19638,0.303741,"0"
1.05,2.19722,0.303854,"0"
1.05,2.20367,0.304714,"0"
1.05,2.20673,0.305122,"0"
1.05,2.20756,0.305233,"0"
1.05,2.21251,0.305811,"0"
1.05,2.21328,0.305901,"0"
1.05,2.22123,0.306828,"0"
1.05,2.22276,0.307007,"0"
1.05,2.23932,0.308941,"0"
1.05,2.24736,0.309879,"0"
1.05,2.24837,0.309997,"0"
1.05,2.25027,0.310219,"0"
1.05,2.25523,0.310798,"0"
1.05,2.25618,0.310909,"0"
1.05,2.25805,0.311127,"0"
1.05,2.25928,0.311271,"0"
1.05,2.2639,0.311888,"0"
1.05,2.26446,0.311962,"0"
1.05,2.26542,0.31209,"0"
1.05,2.26625,0.312201,"0"
1.05,2.2726,0.313048,"0"
1.05,2.27277,0.31307,"0"
1.05,2.28993,0.315361,"0"
1.05,2.29015,0.31539,"0"
1.05,2.29094,0.315495,"0"
1.05,2.29299,0.315769,"0"
1.05,2.29887,0.316553,"0"
1.05,2.30879,0.317877,"0"
1.05,2.31099,0.318171,"0"
1.05,2.31698,0.318855,"0"
1.05,2.32667,0.319964,"0"
1.05,2.32788,0.320103,"0"
1.05,2.33363,0.32076,"0"
1.05,2.33383,0.320783,"0"
1.05,2.33445,0.320854,"0"
1.05,2.33496,0.320912,"0"
1.05,2.3357,0.320997,"0"
1.05,2.34147,0.321657,"0"
1.05,2.35015,0.32265,"0"
1.05,2.35073,0.322716,"0"
1.05,2.35885,0.323645,"0"
1.05,2.35903,0.323665,"0"
1.05,2.36859,0.324758,"0"
1.05,2.37133,0.325072,"0"
1.05,2.37619,0.32572,"0"
1.05,2.37641,0.32575,"0"
1.05,2.37925,0.326128,"0"
1.05,2.38513,0.326913,"0"
1.05,2.38601,0.32703,"0"
1.05,2.3957,0.328324,"0"
1.05,2.39686,0.328478,"0"
1.05,2.41128,0.330402,"0"
1.05,2.41149,0.33043,"0"
1.05,2.41334,0.330677,"0"
1.05,2.42305,0.331972,"0"
1.05,2.42773,0.332597,"0"
1.05,2.42837,0.332683,"0"
1.05,2.43641,0.333755,"0"
1.05,2.44511,0.334916,"0"
1.05,2.44529,0.33494,"0"
1.05,2.44624,0.335067,"0"
1.05,2.44714,0.335188,"0"
1.05,2.45504,0.336241,"0"
1.05,2.45526,0.33627,"0"
1.05,2.46245,0.33723,"0"
1.05,2.46267,0.33726,"0"
1.05,2.4655,0.337637,"0"
1.05,2.46583,0.337682,"0"
1.05,2.47139,0.338424,"0"
1.05,2.47336,0.338686,"0"
1.05,2.47476,0.338873,"0"
1.05,2.48075,0.339672,"0"
1.05,2.49754,0.341913,"0"
1.05,2.49775,0.341941,"0"
1.05,2.4996,0.342187,"0"
1.05,2.50535,0.342955,"0"
1.05,2.50602,0.343043,"0"
1.05,2.52266,0.345264,"0"
1.05,2.52292,0.3453,"0"
1.05,2.52451,0.345511,"0"
1.05,2.52648,0.345773,"0"
1.05,2.53137,0.346426,"0"
1.05,2.5327,0.346603,"0"
1.05,2.53448,0.346842,"0"
1.05,2.53481,0.346885,"0"
1.05,2.5487,0.348739,"0"
1.05,2.54893,0.34877,"0"
1.05,2.54903,0.348784,"0"
1.05,2.55069,0.349004,"0"
1.05,2.551,0.349046,"0"
1.05,2.5584,0.350034,"0"
1.05,2.5588,0.350086,"0"
1.05,2.57519,0.352274,"0"
1.05,2.5754,0.352301,"0"
1.05,2.57819,0.352674,"0"
1.05,2.58585,0.353697,"0"
1.05,2.5916,0.354464,"0"
1.05,2.59228,0.354554,"0"
1.05,2.59516,0.354938,"0"
1.05,2.60217,0.355873,"0"
1.05,2.60892,0.356774,"0"
1.05,2.60918,0.356809,"0"
1.05,2.61035,0.356965,"0"
1.05,2.61209,0.357197,"0"
1.05,2.61762,0.357936,"0"
1.05,2.62965,0.35954,"0"
1.05,2.6299,0.359574,"0"
1.05,2.63496,0.360249,"0"
1.05,2.63519,0.36028,"0"
1.05,2.6353,0.360294,"0"
1.05,2.63606,0.360395,"0"
1.05,2.63696,0.360516,"0"
1.05,2.63726,0.360556,"0"
1.05,2.65305,0.362663,"0"
1.05,2.66146,0.363785,"0"
1.05,2.67211,0.365206,"0"
1.05,2.67786,0.365973,"0"
1.05,2.67855,0.366065,"0"
1.05,2.67982,0.366235,"0"
1.05,2.68107,0.366402,"0"
1.05,2.68162,0.366475,"0"
1.05,2.68654,0.366968,"0"
1.05,2.688,0.367114,"0"
1.05,2.69544,0.367858,"0"
1.05,2.69862,0.368176,"0"
1.05,2.70387,0.368702,"0"
1.05,2.7141,0.369725,"0"
1.05,2.72122,0.370437,"0"
1.05,2.72145,0.370461,"0"
1.05,2.72156,0.370471,"0"
1.05,2.72352,0.370668,"0"
1.05,2.7391,0.372227,"0"
1.05,2.73931,0.372248,"0"
1.05,2.74196,0.372513,"0"
1.05,2.74912,0.373467,"0"
1.05,2.74972,0.373548,"0"
1.05,2.75618,0.37441,"0"
1.05,2.75747,0.374582,"0"
1.05,2.75867,0.374742,"0"
1.05,2.76411,0.375468,"0"
